ATIVOS:
Documentos em vigor
Código	Nome		Categoria	Autor	Revisão	Vigor	Análise	Distribuição	Ações
DO-01	Missão		DO	Diretora Geral	6	05/01/26	05/01/29	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	   
DO-02	Visão		DO	Diretora Geral	4	05/01/26	05/01/29	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	   
DO-03	Valores institucionais		DO	Diretora Geral	7	05/01/26	05/01/29	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	   
DO-04	Política da qualidade		DO	Diretora Geral	8	05/01/26	05/01/29	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	   
DO-05	Código de ética		DO	Diretora Geral	5	05/01/26	05/01/29	Intranet Manual da Qualidade Site do Ital Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	   
DO-06	Escopo ABNT NBR ISO 9001		DO	Diretora Geral	3	24/05/18	-	Manual da Qualidade Treinamento Integração Alunos Treinamento Integração Estagiários Treinamento Integração Funcionários Treinamento Integração Profissional Externo	   
FQ-04.01	Lista Mestra de 12/06/2026		LM	RA	-	12/06/26	-	Intranet	   
FQ-04.01	Lista mestra de documentos do sistema de gestão da qualidade		FQ	RA	8	08/11/21	-	Intranet RA-25 RA-56	   
FQ-04.02	Registro de análise crítica de documentos do sistema de gestão da qualidade		FQ	RA	0	16/01/08	-	Intranet RA-25 RA-56	   
FQ-04.03	Planejamento de mudanças		FQ	RA	1	13/12/21	-	Intranet RA-25 RA-56	   
FQ-04.04	Controle de registros e outros documentos		FQ	RA	10	06/04/23	-	Intranet RA-25 RA-56	   
FQ-04.05	Matriz riscos e oportunidades gerais x processos		FQ	RA	0	26/01/24	-	Intranet RA-25 RA-56	   
FQ-04.06	Fatores estratégicos		FQ	RA	0	18/07/17	-	Intranet RA-25 RA-56	   
FQ-04.07	Monitoramento ambiente externo e ambiente interno		FQ	RA	1	27/02/19	-	Intranet RA-25 RA-56	   
FQ-04.08	Monitoramento de partes interessadas		FQ	RA	1	27/02/19	-	Intranet RA-25 RA-56	   
FQ-04.09	Mapeamento de processo		FQ	RA	2	26/01/24	-	Intranet RA-25 RA-56	   
FQ-04.10	Monitoramento de indicadores		FQ	RA	1	02/02/18	-	Intranet RA-25 RA-56	   
FQ-04.11	Definições e siglas (Acesso não liberado - entre em contato com Setor RA-DG)		FQ	RA	1	09/04/26	-	RA-25 RA-56	   
FQ-04.12	Diretrizes organizacionais		FQ	RA	0	08/11/21	-	Intranet RA-25 RA-56	   
FQ-04.13	Análise de riscos e oportunidades gerais - Matriz GUT		FQ	RA	0	20/08/21	-	Intranet RA-25 RA-56	   
FQ-04.14	Identificação e gestão de riscos inerentes		FQ	RA	0	13/11/24	-	Intranet RA-25 RA-56	   
FQ-04.15	Controle de acesso - Pastas de uso compartilhado		FQ	RA	0	23/09/25	-	Intranet RA-25 RA-56	   
FQ-05.01	Comunicação interna		FQ	RA	0	16/09/05	-	Intranet RA-25 RA-56	   
FQ-05.02	Termo de compromisso		FQ	RA	2	15/08/24	-	Intranet RA-25 RA-56	   
FQ-05.03	Registro de reunião		FQ	RA	2	19/09/24	-	Intranet RA-25 RA-56	   
FQ-05.05	Lista de presença		FQ	RA	1	19/09/24	-	Google Drive Intranet RA-25 RA-56	   
FQ-05.06	Custos da Qualidade		FQ	RA	3	02/01/23	-	Intranet RA-25 RA-56	   
FQ-05.07	Calendário de atividades		FQ	RA	1	14/11/18	-	Intranet RA-25 RA-56	   
FQ-05.08	Comunicação - Sistema de Gestão da Qualidade		FQ	RA	0	21/12/17	-	Intranet RA-25 RA-56	   
FQ-06.01	Plano e controle de treinamentos planejados		FQ	RA	11	19/09/24	-	Intranet RA-25 RA-56	   
FQ-06.02	Registro e avaliação de eficácia de treinamento		FQ	RA	11	23/09/25	-	Intranet RA-25 RA-56	   
FQ-06.03	Matriz de versatilidade		FQ	RA	8	15/12/22	-	Intranet RA-25 RA-56	   
FQ-06.04	Relatório de atividades de pós-graduação		FQ	RA	6	19/09/24	-	Intranet RA-25 RA-56	   
FQ-06.05	Plano de investimentos		FQ	RA	9	08/07/22	-	Intranet RA-25 RA-56	   
FQ-06.07	Controle de participação e emissão de certificados em palestras e treinamentos internos		FQ	RA	3	18/11/22	-	Intranet RA-25 RA-56	   
FQ-06.10	Controle de entrega de equipamentos de proteção individual		FQ	RA	3	19/09/24	-	Intranet RA-25 RA-56	   
FQ-06.12	Ficha de estagiário		FQ	RA	6	10/05/19	-	Intranet RA-25 RA-56	   
FQ-06.13	Controle de treinamentos não planejados		FQ	RA	2	02/01/23	-	Intranet RA-25 RA-56	   
FQ-06.16	Avaliação 5S - Áreas Externas		FQ	RA	9	16/12/25	-	Intranet RA-25 RA-56	   
FQ-06.17	Avaliação 5S - Auditórios		FQ	RA	9	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.18	Avaliação 5S - Avaliação Geral da Unidade		FQ	RA	7	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.19	Avaliação 5S - Banheiros		FQ	RA	10	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.20	Avaliação 5S - Bibliotecas		FQ	RA	9	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.21	Avaliação 5S - Câmaras de estocagem e casa de máquinas		FQ	RA	9	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.22	Avaliação 5S - Corredores		FQ	RA	8	01/09/22	-	Intranet RA-25 RA-56	   
FQ-06.23	Avaliação 5S - Copas e Cozinhas		FQ	RA	10	13/11/24	-	Intranet RA-25 RA-56	   
