�\BFStatus;Tipo;Codigo;Nome;Autor;Revisao;Data_Vigor;Data_Analise_Critica;Data_Obsoleto;Motivo_Obsoleto;Responsavel_Obsoleto;Categoria_Sigla;Nome_Arquivo;Locais_Distribuicao
ATIVO;DOCUMENTO;IT-05.01.01;"Reunião de análise crítica";RA;22;2024-12-11;2027-12-11;;;;IT;IT050101_rev22_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-05.01.05;"Comunicação Institucional";"Especialista em Comunicação (Comunicação - DG)";2;2024-10-16;2027-10-16;;;;IT;IT050105_rev02_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-06.01.01;"Plano de investimentos";RA;12;2025-05-13;2028-05-12;;;;IT;IT060101_rev12_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-06.01.03;"Viagens a serviço, missão, estudo ou participação em eventos científicos";"Secretária do Diretor Geral";15;2025-09-23;2028-09-22;;;;IT;IT060103_rev15_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-06.01.04;"Política de utilização da rede de informática e telefonia";"Analista de Sistemas GTI - DG";22;2025-09-23;2028-09-22;;;;IT;IT060104_rev22_2025.pdf;"Área do aluno|Extranet|Intranet|RA-110"
ATIVO;DOCUMENTO;IT-06.01.05;Estágio;"Diretora do Núcleo de Treinamento e Capacitação (NTC)";19;2025-09-23;2028-09-22;;;;IT;IT060105_rev19_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-06.01.07;"Compra de materiais ou serviços com recursos do Tesouro ou FED";"Diretora do Centro de Atividades Administrativas";17;2025-10-21;2028-10-20;;;;IT;IT060107_rev17_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-06.01.11;"Segurança do trabalho";"Coordenador Time SegurançaPresidente Cipa";18;2025-10-21;2028-10-20;;;;IT;IT060111_rev18_2025.pdf;"Área do aluno|Extranet|Intranet|RA-110"
ATIVO;DOCUMENTO;IT-06.01.12;"Verificação de segurança das capelas de exaustão";"Coordenador Time SegurançaPresidente Cipa";6;2024-11-13;2027-11-13;;;;IT;IT060112_rev06_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-06.01.13;"Controle de acesso na portaria do Ital";"Diretora Geral";11;2024-04-17;2027-04-17;;;;IT;IT060113_rev11_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-06.01.14;"Profissional externo";"Diretora Geral";15;2025-10-21;2028-10-20;;;;IT;IT060114_rev15_2025.pdf;Extranet|Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.01.01;"Gerenciamento de resíduos";"Coordenadora Time Ger. Resíduos";14;2025-09-23;2028-09-22;;;;IT;IT070101_rev14_2025.pdf;"Área do aluno|Extranet|Intranet|RA-110"
ATIVO;DOCUMENTO;IT-07.01.02;"Controle de estoque e aprovação de materiais para processos e ensaios";RA;16;2025-04-17;2028-04-16;;;;IT;IT070102_rev16_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.01.04;"Serviços de apoio";"Diretor do Núcleo de Apoio Operacional - DG";10;2025-05-13;2028-05-12;;;;IT;IT070104_rev10_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.01.06;"Controle patrimonial";"Diretor do Apoio Operacional";15;2025-10-21;2028-10-20;;;;IT;IT070106_rev15_2025.pdf;Intranet
ATIVO;DOCUMENTO;IT-07.01.08;"Proteção intelectual";"Diretor Técnico de Divisão – NIT";2;2024-06-21;2027-06-21;;;;IT;IT070108_rev02_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.01.09;"Ensaios e análises";RA;6;2024-12-11;2027-12-11;;;;IT;IT070109_rev06_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.01.11;"Contratos via fundação de apoio (FA) e outros acordos e termos";"Diretora Geral";2;2024-11-13;2027-11-13;;;;IT;IT070111_rev02_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.03.01;"Controle e verificação de vidrarias volumétricas";"Coordenadora Time de Metrologia/Eimes";12;2025-11-19;2028-11-18;;;;IT;IT070301_rev12_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.03.02;"Checagem intermediária de pipeta automática ou micropipeta";"Coordenadora Time de Metrologia/Eimes";6;2025-01-06;2028-01-06;;;;IT;IT070302_rev06_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.03.03;"Verificação de performance de ICP OES";"Coordenadora Time de Metrologia/Eimes";6;2024-10-16;2027-10-16;;;;IT;IT070303_rev06_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.03.04;"Verificação da performance de espectrofotômetros com largura da fenda espectral até 2nm";"Coordenadora Time de Metrologia/Eimes";6;2024-09-19;2027-09-19;;;;IT;IT070304_rev06_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.03.05;"Verificação da performance de cromatógrafos liquídos e gasosos";"Coordenadora Time de Metrologia/Eimes";5;2024-10-16;2027-10-16;;;;IT;IT070305_rev05_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-07.03.06;"Checagem intermediária de dispositivos de medição de temperatura";"Coordenadora Time de Metrologia/Eimes";6;2024-11-13;2027-11-13;;;;IT;IT070306_rev06_2024.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-08.01.01;"Tratamento a sugestões ou reclamações de clientes";RA;19;2025-02-18;2028-02-18;;;;IT;IT080101_rev19_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-08.01.02;"Análise de satisfação e insatisfação de clientes";RA;25;2025-04-17;2028-04-16;;;;IT;IT080102_rev25_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;IT-08.01.04;"Monitoramento, medição, análise e avaliação - indicadores de desempenho";RA;27;2025-10-21;2028-10-20;;;;IT;IT080104_rev27_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;PQ-04.03;"Controle de registros";RA;19;2025-04-17;2028-04-16;;;;PQ;PQ0403_rev19_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;PQ-04.04;"Fatores estratégicos";RA;18;2025-02-18;2028-02-18;;;;PQ;PQ0404_rev18_2025.pdf;Intranet|RA-110
ATIVO;DOCUMENTO;PQ-06.01;"Gestão de recursos";RA;17;2025-06-12;2028-06-11;;;;PQ;PQ0601_rev17_2025.pdf;Intranet|RA-110
