Status;Tipo_Manual;Codigo;Nome;Revisao;Data_Vigor;Data_Analise;Arquivo;Locais_Distribuicao;Responsavel;Data_Agendamento_ou_Obsoleto;Motivo_Obsoleto
ATIVO;Nao_Controlado;MQ;"Manual da qualidade";28;2025-05-09;2028-05-08;"MQ_rev28_2025 - Intranet.pdf";DQS|INMETRO;;;
ATIVO;Controlado;MS;"Manual de Segurança do Trabalho";6;2026-02-02;2029-02-02;MS_Intranet_rev6_2026.pdf;Intranet;;;
ATIVO;Controlado;"MS - Extranet";"Manual de Segurança do Trabalho";6;2026-02-02;2029-02-02;"MS - Extranet_rev6_2026.pdf";Extranet;;;
ATIVO;Controlado;MS;"Manual de Segurança do Trabalho";6;2026-02-02;2029-02-02;MS_rev06_2026.pdf;"Área do aluno";;;
ATIVO;Controlado;MQ;"Manual da Qualidade";30;2026-06-02;2029-06-02;MQ_Intranet_rev30_2026.pdf;Intranet;;;
OBSOLETO_AGENDADO;Nao_Controlado;MQ;"Manual da qualidade";28;;;"MQ_rev28_2025 - Intranet.pdf";;"Cinthia Ronchesel";2026-01-05;"Nova revisão."
OBSOLETO;;;"Manual da Qualidade";;;;MQ_rev29_2026.pdf;;"Daiana Guimarães de Sousa";"2026-06-02 07:50:45";"nova revisão em vigor"
OBSOLETO;;;"Manual da Qualidade (Antigo)";;;;"MQ_rev28 2025 - Intranet.pdf";;Sistema;"2025-12-11 15:30:23";"Substituído na edição"
OBSOLETO;;;"MS - Manual de Segurança do Trabalho (Antigo)";;;;"MS_ rev05 2023 I.pdf";;Sistema;"2025-12-11 15:30:35";"Substituído na edição"
OBSOLETO;;;"Manual da Qualidade";;;;"MQ_rev28_2025 - Intranet.pdf";;"Cinthia Ronchesel";"2026-01-05 08:05:32";"Nova revisão publicada."
OBSOLETO;;;"Manual de Segurança do Trabalho";;;;MS_rev5_2023.pdf;;"Daiana Guimarães Sousa";"2026-02-02 08:10:23";"Nova revisão em vigor em 02/02/2026 "
