Status;Palavra_Sigla;Definicao;Referencia;Data_Atualizacao;Data_Agendamento;Responsavel_Agendamento;Data_Arquivamento;Responsavel_Arquivamento;Descricao_Historico
ATIVO;GUM;"Guide to the Expression of Uncertainty in Measurement (inglês)
Tradução: Guia para a Expressão de Incerteza de Medição";"Evaluation of measurement data: Guide to the expression of uncertainty in measurement – GUM 2008. 2008. ISBN: 978-85-86920-13-4";2025-12-16;;;;;
ATIVO;ABNT;"Associação Brasileira de Normas Técnicas";www.abnt.org.br;2025-04-17;;;;;
ATIVO;"Ação corretiva";"Ação para eliminar a causa de uma não conformidade e para prevenir recorrência.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Ação de emergência";"Ação imediata para conter um problema, geralmente atacando o efeito. A causa será analisada depois. Ex.: relatório com dados errados - ação: informar o cliente imediatamente.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Ação preventiva";"Ação para eliminar a causa de uma potencial não conformidade ou outra situação potencialmente indesejável.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;"Acidente de trabalho";"Aquele que ocorre pelo exercício do trabalho a serviço do Ital (interna ou externamente), provocando lesão corporal, perturbação funcional que cause a morte, ou perda, ou redução permanente ou temporária, da capacidade para o trabalho, incluindo acidentes de trajeto, de acordo com o que está determinado na legislação.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Acidente de trajeto";"Aquele sofrido pelo empregado no percurso usual da residência ou do local de refeição para o trabalho, ou deste para aqueles. Não se aplica em acidente sofrido pelo empregado que por interesse pessoal tiver interrompido ou alterado o percurso.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Acidente material";"Aquele que causa apenas dano material, mas que se não for devidamente prevenido pode oferecer riscos aos funcionários (Ex.: princípios de incêndio, derramamento de produtos perigosos, quebra de equipamentos, vidrarias etc.).";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Acidente pessoal";"Aquele sofrido pelo empregado no desenvolvimento de suas atividades de trabalho, com danos físicos ao colaborador.";"Estabelecido pela Cipa";2025-04-17;;;;;
ATIVO;"Agência de fomento";"Órgãos que fornecem aporte financeiro para pesquisadores e cientistas para fomentar a pesquisa científica e tecnológica em universidades e instituições.";http://www.brasil.gov.br/ciencia-e-tecnologia;2025-04-17;;;;;
ATIVO;"Ajuste (de um sistema de medição)";"Conjunto de operações efetuadas em um sistema de medição, de modo que ele forneça indicações prescritas correspondentes a determinados valores de uma grandeza a ser medida.";"VIM  2012 - item 3.11";2025-04-17;;;;;
ATIVO;"Alta Direção";"Diretor Geral, Diretor das Unidades e seus respectivos substitutos";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;"Ambiente externo";"Questões provenientes dos ambientes legal, tecnológico, competitivo, de mercado, cultural, social e econômico, tanto nacionais, regionais ou locais. Equivalente a contexto externo.";"ABNT NBR ISO 9001:2015";2025-04-17;;;;;
ATIVO;"Ambiente interno";"Questões relativas a valores, cultura, conhecimento e desempenho da organização. Equivalente a contexto interno.";"ABNT NBR ISO 9001:2015";2025-04-17;;;;;
ATIVO;"Análise Crítica";"Determinação da pertinência, adequação ou eficácia de um objeto para alcançar os objetivos estabelecidos.";"ABNT NBR ISO 9000:2015";2025-04-17;;;;;
ATIVO;Anemômetro;"Equipamento utilizado para medir a velocidade ou força dos ventos.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Apoio Operacional";"Setor do Sistema DG responsável pelas áreas de manutenção, finanças, suprimentos e outros.";"Decreto nº 66.417, de 30 de dezembro de 2021";2025-04-17;;;;;
ATIVO;Apta;"Agência Paulista de Tecnologia dos Agronegócios";"Decreto nº 52167 de 1969.";2025-04-17;;;;;
ATIVO;"Área de descarte de resíduo químico do Ital";"Área de armazenamento de resíduos líquidos e sólidos perigosos: área coberta, protegida de intempéries, ventilada, isolada, onde são armazenados, temporariamente, os resíduos perigosos previamente classificados, segregados e acondicionados para posterior incineração ou outra destinação.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Áreas-fim;"Áreas de realização de atividades de realização de serviço e produto.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Áreas-meio;"Áreas de realização de atividades de suporte para área-fim (administrativo, qualidade, recursos humanos etc.).";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Assistência tecnológica";"Consultoria, parecer técnico, serviços em planta piloto e serviços e produtos agrupados para atendimento de demandas tecnológicas.";"Estabelecido internamente pelo Conselho Técnico Científico.";2025-04-17;;;;;
ATIVO;ASTM;"American Society for Testing and Materials";https://www.astm.org/;2025-04-17;;;;;
ATIVO;"Aterro sanitário";"Área específica designada pela prefeitura para disposição de resíduo orgânico urbano.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Atividade;"Etapa de um processo para realização de um produto. Exemplo: pesagem de amostra, seleção de equipamento etc.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Auditoria de terceira parte";"Auditoria conduzida por organizações de auditoria , independentes, como aquelas que fornecem certificação/registro de conformidade ou por agências governamentais.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;"Auditoria horizontal";"Verificação detalhada de cada elemento do sistema de gestão (equipamentos, métodos, pessoal, materiais, planejamento do SGQ etc.).";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;"Auditoria interna da qualidade";"Auditoria conduzida pela própria organização para análise crítica pela direção e para outros propósitos internos e podem formar a base para uma declaração de conformidade da organização.";"ABNT NBR ISO 9000:2015
ABNT NBR ISO 19011:2018";2025-04-17;;;;;
ATIVO;"Auditoria vertical";"Verificação de cada operação associada a um determinado processo (ensaios, projetos, cursos oferecidos etc.).";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;Backup;"Cópia de segurança de arquivos/documentos, para que esses possam ser restaurados em caso de perda dos dados originais.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;BEC;"Bolsa Eletrônica de Compras";www.bec.sp.gov.br;2025-04-17;;;;;
ATIVO;BIB;Biblioteca;"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;BJFT;"Brazilian Journal of Food Technology";http://bjft.ital.sp.gov.br/;2025-04-17;;;;;
ATIVO;CA;"Certificado de Aprovação";http://trabalho.gov.br/;2025-04-17;;;;;
ATIVO;CAA;"Centro de Atividades Administrativas. Equivalente à Divisão de Administração Integrada do Ital. ";"Definida pela Diretora Geral com base em: Decreto nº 69.664, de 29 de junho de 2025, Resolução SAA nº 41/2025, Decreto nº 66.530, de 25 de fevereiro de 2022 (Portaria Normativa nº 01/2022) e Decreto nº 66.417, de 30 de dezembro de 2021.";2026-06-11;;;;;
ATIVO;Cadri;"Certificado de Aprovação para Destinação de Resíduos Industriais, emitido pelo órgão ambiental regional CETESB.";http://www.cetesb.sp.gov.br;2025-04-17;;;;;
ATIVO;Cadterc;"Estudos técnicos de serviços terceirizados";www.bec.sp.gov.br;2025-04-17;;;;;
ATIVO;Caldeira;"Equipamento destinado a produzir e acumular vapor sob pressão superior à atmosférica, utilizando qualquer fonte de energia, projetado conforme códigos pertinentes, excetuando-se refervedores e similares.";"NR 13 - Norma Regulamentadora do Trabalho";2025-04-17;;;;;
ATIVO;Calibração;"Operação que estabelece, numa primeira etapa e sob condições especificadas, uma relação entre os valores e as incertezas de medição fornecidos por padrões e as indicações correspondentes com as incertezas associadas; numa segunda etapa, utiliza essa informação para estabelecer uma relação visando à obtenção de um resultado de medição a partir de uma indicação.";"VIM 2012 - item 2.39";2025-04-17;;;;;
ATIVO;Capes;"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";www.capes.gov.br;2025-04-17;;;;;
ATIVO;Cargo;"Título resultante de um agrupamento de tarefas, de mesma natureza e nível de complexidade, atribuídas a um ou mais funcionários da organização, de forma genérica.";"Estabelecido internamente pela Comissão de Gestão da Qualidade.";2025-04-17;;;;;
ATIVO;CAT;"Comunicado de Acidente de Trabalho.";https://portal.inss.gov.br;2025-04-17;;;;;
ATIVO;Caufesp;"Cadastro Único de Fornecedores do Estado de São Paulo";www.bec.sp.gov.br;2025-04-17;;;;;
ATIVO;CCD;"Centro de Ciência para o Desenvolvimento - Projeto colaborativo Fapesp de até cinco anos orientado a problemas específicos, de interesse social ou econômico do Estado de São Paulo, visando o avanço do conhecimento e a melhoria de políticas públicas, reunindo pesquisadores de universidades e instituições de pesquisa paulistas, gestores de órgãos do governo estadual e de municípios, além de empresas e organizações não governamentais (ONGs)";https://fapesp.br/16421/programa-centros-de-ciencia-para-o-desenvolvimento;2025-04-17;;;;;
ATIVO;"CCD Círcula";"Centro de Ciência para o Desenvolvimento Soluções para os Resíduos Pós-Consumo: Embalagens e Produtos - Projeto colaborativo Fapesp com a missão de desenvolver soluções inovadoras voltadas ao problema dos resíduos pós-consumo para reduzir ou eliminar o seu impacto negativo, com base nos princípios da economia circular e nos Objetivos de Desenvolvimento Sustentável.";https://bv.fapesp.br/pt/auxilios/110534/centro-de-ciencias-para-o-desenvolvimento-ccd-solucoes-para-os-residuos-pos-consumo-embalagens-e-pro/;2025-04-17;;;;;
