Siglas e Definições 323
Sigla	Definição	Ref.	Data	Ações
5 porquês	Metodologia utilizada para determinar a causa raiz de um problema ou defeito.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
ABNT	Associação Brasileira de Normas Técnicas	www.abnt.org.br	17/04/2025	   
Ação corretiva	Ação para eliminar a causa de uma não conformidade e para prevenir recorrência.	ABNT NBR ISO 9000:2015	17/04/2025	   
Ação de emergência	Ação imediata para conter um problema, geralmente atacando o efeito. A causa será analisada depois. Ex.: relatório com dados errados - ação: informar o cliente imediatamente.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Ação preventiva	Ação para eliminar a causa de uma potencial não conformidade ou outra situação potencialmente indesejável.	ABNT NBR ISO 9000:2015	17/04/2025	   
Acidente de trabalho	Aquele que ocorre pelo exercício do trabalho a serviço do Ital (interna ou externamente), provocando lesão corporal, perturbação funcional que cause a morte, ou perda, ou redução permanente ou temporária, da capacidade para o trabalho, incluindo acidentes de trajeto, de acordo com o que está determinado na legislação.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Acidente de trajeto	Aquele sofrido pelo empregado no percurso usual da residência ou do local de refeição para o trabalho, ou deste para aqueles. Não se aplica em acidente sofrido pelo empregado que por interesse pessoal tiver interrompido ou alterado o percurso.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Acidente material	Aquele que causa apenas dano material, mas que se não for devidamente prevenido pode oferecer riscos aos funcionários (Ex.: princípios de incêndio, derramamento de produtos perigosos, quebra de equipamentos, vidrarias etc.).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Acidente pessoal	Aquele sofrido pelo empregado no desenvolvimento de suas atividades de trabalho, com danos físicos ao colaborador.	Estabelecido pela Cipa	17/04/2025	   
Agência de fomento	Órgãos que fornecem aporte financeiro para pesquisadores e cientistas para fomentar a pesquisa científica e tecnológica em universidades e instituições.	http://www.brasil.gov.br/ciencia-e-tecnologia	17/04/2025	   
Ajuste (de um sistema de medição)	Conjunto de operações efetuadas em um sistema de medição, de modo que ele forneça indicações prescritas correspondentes a determinados valores de uma grandeza a ser medida.	VIM 2012 - item 3.11	17/04/2025	   
Alta Direção	Diretor Geral, Diretor das Unidades e seus respectivos substitutos	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
Ambiente externo	Questões provenientes dos ambientes legal, tecnológico, competitivo, de mercado, cultural, social e econômico, tanto nacionais, regionais ou locais. Equivalente a contexto externo.	ABNT NBR ISO 9001:2015	17/04/2025	   
Ambiente interno	Questões relativas a valores, cultura, conhecimento e desempenho da organização. Equivalente a contexto interno.	ABNT NBR ISO 9001:2015	17/04/2025	   
Análise Crítica	Determinação da pertinência, adequação ou eficácia de um objeto para alcançar os objetivos estabelecidos.	ABNT NBR ISO 9000:2015	17/04/2025	   
Anemômetro	Equipamento utilizado para medir a velocidade ou força dos ventos.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Apoio Operacional	Setor do Sistema DG responsável pelas áreas de manutenção, finanças, suprimentos e outros.	Decreto nº 66.417, de 30 de dezembro de 2021	17/04/2025	   
Apta	Agência Paulista de Tecnologia dos Agronegócios	Decreto nº 52167 de 1969.	17/04/2025	   
Área de descarte de resíduo químico do Ital	Área de armazenamento de resíduos líquidos e sólidos perigosos: área coberta, protegida de intempéries, ventilada, isolada, onde são armazenados, temporariamente, os resíduos perigosos previamente classificados, segregados e acondicionados para posterior incineração ou outra destinação.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Áreas-fim	Áreas de realização de atividades de realização de serviço e produto.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Áreas-meio	Áreas de realização de atividades de suporte para área-fim (administrativo, qualidade, recursos humanos etc.).	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Assistência tecnológica	Consultoria, parecer técnico, serviços em planta piloto e serviços e produtos agrupados para atendimento de demandas tecnológicas.	Estabelecido internamente pelo Conselho Técnico Científico.	17/04/2025	   
ASTM	American Society for Testing and Materials	https://www.astm.org/	17/04/2025	   
Aterro sanitário	Área específica designada pela prefeitura para disposição de resíduo orgânico urbano.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
Atividade	Etapa de um processo para realização de um produto. Exemplo: pesagem de amostra, seleção de equipamento etc.	Estabelecido internamente pela Comissão de Gestão da Qualidade.	17/04/2025	   
